,P/O NO,GITEM,GITEM명,너비,길이,의뢰량,원단길이,납기일
0,SW1250407101,31704,PPF-NS-TGA(WHITE),1524,15,20,300,2025-05-21
1,SW1250501901,31772,WINDSHIELD 보호필름(점착개선),1220,15,100,1500,2025-06-10
2,SW1250501902,32415,PPF-NS-Onyxhield EX9 H,1524,15,100,1500,2025-06-15
3,SW1250502001,31772,WINDSHIELD 보호필름(점착개선),1220,30,144,4320,2025-06-05
4,SW1250502301,30151,Phantom(BLACK)-ND-S5 3550,914,31,100,3100,2025-05-22
5,SW1250503301,32023,PPF-NS-PPF MATTE(MONO),1524,15,50,750,2025-05-24
6,SW1250503601,32528,상보텍 100um (H/C + 점착),1560,1500,4,6000,2025-05-26
7,SW1250504501,25278,SF-NS-4MIL,1524,31,360,11160,2025-06-05
8,SW1250504502,26193,COLEX-NS-WHITE-MATT(50㎛ 1PLY),1524,31,150,4650,2025-06-05
9,SW1250504503,28731,SCF-DM-SPUTTER NiCr 20(NiCr 15%),1524,31,70,2170,2025-07-10
10,SW1250504504,28732,SCF-DM-SPUTTER NiCr 35(NiCr 30%),1524,31,70,2170,2025-06-05
11,SW1250504505,25033,SCF-NS-CCS05,1524,31,100,3100,2025-06-05
12,SW1250504506,32032,IR WINDSHIELD 8050,1220,15,20,300,2025-06-17
13,SW1250504507,30863,SF-ND-9MIL,1524,31,168,5208,2025-07-10
14,SW1250504508,30148,PLATINUM(개선1)-ND-IBLD7060,1524,31,30,930,2025-06-17
15,SW1250505001,32556,WP-NS-IVIOS Axion,1220,30,600,18000,2025-06-10
16,SW1250505002,32556,WP-NS-IVIOS Axion,1016,30,200,6000,2025-06-10
17,SW1250505201,31798,RAINBOW(KOR)-ND-I55 0555S,1524,31,60,1860,2025-07-01
18,SW1250505202,31800,RAINBOW(KOR)-ND-I55 1555S,1524,31,120,3720,2025-07-01
19,SW1250505203,31802,RAINBOW(KOR)-ND-I55 3555S,1524,31,120,3720,2025-07-01
20,SW1250505204,31652,RAINBOW(KOR)-DM-V70 1270(RHN31%),1524,31,60,1860,2025-07-01
21,SW1250505205,31600,RAINBOW(KOR)-DM-V90 0590(RHN31%),1524,31,120,3720,2025-07-01
22,SW1250505206,31737,RAINBOW(KOR)-ND-I90 0590,1524,31,60,1860,2025-07-01
23,SW1250505207,31738,RAINBOW(KOR)-ND-I90 1590,1524,31,120,3720,2025-07-01
24,SW1250505208,31739,RAINBOW(KOR)-ND-I90 3390,1524,31,60,1860,2025-07-01
25,SW1250505209,32260,RAINBOW(KOR)-ND-IS100S 0575,1524,31,60,1860,2025-07-01
26,SW1250505210,32261,RAINBOW(KOR)-ND-IS100S 1575,1524,31,120,3720,2025-07-01
27,SW1250505211,32262,RAINBOW(KOR)-ND-IS100S 2375,1524,31,60,1860,2025-07-01
28,SW1250505212,32264,RAINBOW(KOR)-ND-IS200 0590,1524,31,120,3720,2025-07-01
29,SW1250505213,32266,RAINBOW(KOR)-ND-IS200 2390,1524,31,60,1860,2025-07-01
30,SW1250505214,32267,RAINBOW(KOR)-ND-IS200 3390,1524,31,120,3720,2025-07-01
31,SW1250505215,32016,RAINBOW(KOR)-DM-VS200 05(RHN31%),1524,31,120,3720,2025-07-01
32,SW1250505216,32017,RAINBOW(KOR)-DM-VS200 12(RHN31%),1524,31,120,3720,2025-07-01
33,SW1250505401,31772,WINDSHIELD 보호필름(점착개선),1220,30,49,1470,2025-05-28
34,SW1250506101,31539,SCF-NS-CCS05(SLP),306,31,240,7440,2025-05-28
35,SW1250506102,31539,SCF-NS-CCS05(SLP),508,31,480,14880,2025-05-28
36,SW1250506103,31539,SCF-NS-CCS05(SLP),609,31,480,14880,2025-05-28
37,SW1250506104,31539,SCF-NS-CCS05(SLP),1016,31,240,7440,2025-05-28
38,SW1250506105,31864,SCF-NS-CCS16(SLP),508,31,360,11160,2025-05-28
39,SW1250506106,31864,SCF-NS-CCS16(SLP),609,31,120,3720,2025-05-28
40,SW1250506107,31864,SCF-NS-CCS16(SLP),914,31,120,3720,2025-05-28
41,SW1250506108,31864,SCF-NS-CCS16(SLP),1016,31,120,3720,2025-05-28
42,SW1250506109,31540,SCF-NS-CCS20(SLP),508,31,480,14880,2025-05-28
43,SW1250506110,31540,SCF-NS-CCS20(SLP),609,31,120,3720,2025-05-28
