,P/O NO,GITEM,공정명,공정순서,조합분류,납기일,원단너비,생산길이,배합코드,ID,공정분류
0,SW1250502301,30151,안료접착,1,2,2025-05-22,1500,3100.0,T02159,30151_안료접착_1500_T02159_2_M5,안료
1,SW1250502301,30151,MIBK SR,2,2,2025-05-22,1500,3100.0,T02149,30151_MIBK SR_1500_T02149_2_M5,SR
2,SW1250502301,30151,투명점착,3,2,2025-05-22,1500,3100.0,W2010,30151_투명점착_1500_W2010_2_M5,투명
3,SW1250502301,30151,인쇄,4,2,2025-05-22,1500,3100.0,배합X,30151_인쇄_1500_배합X_2_M5,인쇄
4,"SW1250506102, SW1250506104",31539,염료점착,1,1,2025-05-28,1500,9920.0,T02299,31539_염료점착_1500_T02299_1_M5,염료
5,SW1250506103,31539,염료점착,1,2,2025-05-28,1500,14880.0,T02299,31539_염료점착_1500_T02299_2_M5,염료
6,SW1250506101,31539,염료점착,1,4,2025-05-28,1300,7440.0,T02299,31539_염료점착_1300_T02299_4_M5,염료
7,"SW1250506102, SW1250506104",31539,유광 S/R,2,1,2025-05-28,1500,9920.0,T02149,31539_유광 S/R_1500_T02149_1_M5,SR
8,SW1250506103,31539,유광 S/R,2,2,2025-05-28,1500,14880.0,T02149,31539_유광 S/R_1500_T02149_2_M5,SR
9,SW1250506101,31539,유광 S/R,2,4,2025-05-28,1300,7440.0,T02149,31539_유광 S/R_1300_T02149_4_M5,SR
10,"SW1250506109, SW1250506113",31540,염료점착,1,1,2025-05-28,1500,9920.0,T02296,31540_염료점착_1500_T02296_1_M5,염료
11,"SW1250506110, SW1250506601, SW1250506111",31540,염료점착,1,2,2025-05-28,1500,7440.0,T02296,31540_염료점착_1500_T02296_2_M5,염료
12,"SW1250506109, SW1250506113",31540,유광 S/R,2,1,2025-05-28,1500,9920.0,T02149,31540_유광 S/R_1500_T02149_1_M5,SR
13,"SW1250506110, SW1250506601, SW1250506111",31540,유광 S/R,2,2,2025-05-28,1500,7440.0,T02149,31540_유광 S/R_1500_T02149_2_M5,SR
14,"SW1250506114, SW1250506117",31541,염료점착,1,1,2025-05-28,1500,3720.0,T02300,31541_염료점착_1500_T02300_1_M5,염료
15,"SW1250506115, SW1250506116",31541,염료점착,1,2,2025-05-28,1500,3720.0,T02300,31541_염료점착_1500_T02300_2_M5,염료
