,machineno,machinename,work_start_time,work_end_time,procseq,process_ID,pono,gitemno,fabric_width,production_length,chemical_list,duedate,gitemname,procname,work_time
0,C2010,코팅1호기_WIN,2025-05-16 00:00:00,2025-05-16 00:30:00,1,32571_1300_4_M3_23312_T01639,['SW1250212001'],32571,1300,180,T01639,['2025-03-24'],PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),1300,0 days 00:30:00
1,C2010,코팅1호기_WIN,2025-05-16 01:30:00,2025-05-16 02:00:00,2,32571_1300_4_M3_23316_T01640,['SW1250212001'],32571,1300,170,T01640,['2025-03-24'],PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),1300,0 days 00:30:00
2,C2010,코팅1호기_WIN,2025-05-16 03:00:00,2025-05-16 03:30:00,3,32571_1300_4_M3_20500_T01514,['SW1250212001'],32571,1300,160,T01514,['2025-03-24'],PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),1300,0 days 00:30:00
3,C2010,코팅1호기_WIN,2025-05-16 04:30:00,2025-05-16 05:00:00,1,32041_1300_4_M10_20500_T0915,['SW1250911401'],32041,1300,160,T0915,['2025-10-17'],PPF-NS-XTM PLUS(Kaizer),1300,0 days 00:30:00
4,C2010,코팅1호기_WIN,2025-05-16 05:00:00,2025-05-16 05:30:00,1,31704_1300_4_M10_23311_T01521|T0915,['SW1250911101'],31704,1300,110,T01521|T0915,['2025-10-28'],PPF-NS-TGA(WHITE),1300,0 days 00:30:00
5,C2010,코팅1호기_WIN,2025-05-16 05:30:00,2025-05-16 06:00:00,1,32413_1300_4_M10_23311_T0915,['SW1251002001'],32413,1300,160,T0915,['2025-10-31'],PPF-NS-TGA N (OP개선),1300,0 days 00:30:00
6,C2010,코팅1호기_WIN,2025-05-16 06:00:00,2025-05-16 06:30:00,1,32453_1300_4_M10_23311_T0915|T02098,"['SW1251002401, SW1250911402']",32453,1300,300,T0915|T02098,['2025-10-17'],PPF-NS-Onyxhield EXa MATT,1300,0 days 00:30:00
7,C2010,코팅1호기_WIN,2025-05-16 07:30:00,2025-05-16 08:00:00,1,31722_1300_4_M10_23311_T0915|T01362,['SW1251001901'],31722,1300,150,T0915|T01362,['2025-10-27'],PPF-NS-SGA N,1300,0 days 00:30:00
8,C2010,코팅1호기_WIN,2025-05-16 09:00:00,2025-05-16 10:00:00,1,32556_1300_4_M10_20710_T01020,"['SW1250908901, SW1251001801']",32556,1300,370,T01020,['2025-10-27'],WP-NS-IVIOS Axion,1300,0 days 01:00:00
9,C2010,코팅1호기_WIN,2025-05-16 10:00:00,2025-05-16 10:30:00,1,31772_1300_4_M10_20710_T01020,['SW1251002101'],31772,1300,360,T01020,['2025-10-31'],WINDSHIELD 보호필름(점착개선),1300,0 days 00:30:00
10,C2010,코팅1호기_WIN,2025-05-16 11:00:00,2025-05-16 11:30:00,2,32556_1300_4_M10_23100_T01226,"['SW1250908901, SW1251001801']",32556,1300,360,T01226,['2025-10-27'],WP-NS-IVIOS Axion,1300,0 days 00:30:00
11,C2010,코팅1호기_WIN,2025-05-16 11:30:00,2025-05-16 12:00:00,2,31772_1300_4_M10_23100_T01226|W2060,['SW1251002101'],31772,1300,350,T01226|W2060,['2025-10-31'],WINDSHIELD 보호필름(점착개선),1300,0 days 00:30:00
12,C2010,코팅1호기_WIN,2025-05-16 13:00:00,2025-05-16 14:00:00,2,25441_1300_4_M11_20700_T0873,['SW1250908612'],25441,1300,2440,T0873,['2025-11-04'],SCF-NS-CG28,1300,0 days 01:00:00
13,C2010,코팅1호기_WIN,2025-05-16 14:30:00,2025-05-16 15:00:00,1,32470_1300_4_M11_23311_T0915,['SW1251003601'],32470,1300,230,T0915,['2025-11-04'],PPF-NS-ULTRAFIT XP SUPREME TOP(PX93-15),1300,0 days 00:30:00
14,C2010,코팅1호기_WIN,2025-05-18 15:30:00,2025-05-18 16:00:00,5,32571_1300_4_M3_12400_T01713,['SW1250212001'],32571,1300,150,T01713,['2025-03-24'],PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),1300,0 days 00:30:00
15,C2010,코팅1호기_WIN,2025-05-18 17:00:00,2025-05-18 17:30:00,3,32041_1300_4_M10_12400_T01576,['SW1250911401'],32041,1300,150,T01576,['2025-10-17'],PPF-NS-XTM PLUS(Kaizer),1300,0 days 00:30:00
16,C2010,코팅1호기_WIN,2025-05-18 18:00:00,2025-05-18 18:30:00,3,32413_1300_4_M10_12400_T01288|T01715,['SW1251002001'],32413,1300,150,T01288|T01715,['2025-10-31'],PPF-NS-TGA N (OP개선),1300,0 days 00:30:00
17,C2010,코팅1호기_WIN,2025-05-18 18:30:00,2025-05-18 19:00:00,3,32453_1300_4_M10_12400_T02244,"['SW1251002401, SW1250911402']",32453,1300,300,T02244,['2025-10-17'],PPF-NS-Onyxhield EXa MATT,1300,0 days 00:30:00
18,C2010,코팅1호기_WIN,2025-05-18 19:30:00,2025-05-18 20:00:00,3,31704_1300_4_M10_12400_T01288|T01715,['SW1250911101'],31704,1300,110,T01288|T01715,['2025-10-28'],PPF-NS-TGA(WHITE),1300,0 days 00:30:00
19,C2010,코팅1호기_WIN,2025-05-18 20:30:00,2025-05-18 21:00:00,3,31722_1300_4_M10_12400_T01716|T01362,['SW1251001901'],31722,1300,150,T01716|T01362,['2025-10-27'],PPF-NS-SGA N,1300,0 days 00:30:00
20,C2010,코팅1호기_WIN,2025-05-19 03:00:00,2025-05-19 03:30:00,3,32470_1300_4_M11_12400_T01521,['SW1251003601'],32470,1300,230,T01521,['2025-11-04'],PPF-NS-ULTRAFIT XP SUPREME TOP(PX93-15),1300,0 days 00:30:00
21,C2250,코팅25호기_WIN,2025-05-15 03:00:00,2025-05-15 04:00:00,4,31739_1300_4_M10_20906_None,['SW1250806608'],31739,1300,800,None,['2025-10-01'],RAINBOW(KOR)-ND-I90 3390,1300,0 days 01:00:00
22,C2250,코팅25호기_WIN,2025-05-15 06:30:00,2025-05-15 07:30:00,4,30234_1300_4_M10_20906_None,['SW1250905625'],30234,1300,630,None,['2025-10-21'],Phantom(개선2)-ND-S7 3470,1300,0 days 01:00:00
