,PoNo,1_PROCCODE,2_PROCCODE,3_PROCCODE,4_PROCCODE,GitemNo,GitemName,sitemno,SitemName,Spec,IpgmQty,DUEDATE,Thickness,Width,Length,Fabric_Length,original_due_date,comb_classification_1_PROCCODE,fabric_width_1_PROCCODE,production_length_1_PROCCODE,mixture_list_1_PROCCODE,comb_classification_2_PROCCODE,fabric_width_2_PROCCODE,production_length_2_PROCCODE,mixture_list_2_PROCCODE,comb_classification_3_PROCCODE,fabric_width_3_PROCCODE,production_length_3_PROCCODE,mixture_list_3_PROCCODE,comb_classification_4_PROCCODE,fabric_width_4_PROCCODE,production_length_4_PROCCODE,mixture_list_4_PROCCODE
0,SW1250407101,31704_23311_1300_T01521|T0915_4_M5,31704_12400_1300_T01288|T01715_4_M5,,,31704,PPF-NS-TGA(WHITE),,,10*1524*15,20,2025-05-14,10,1524,15,300,2025-05-21,4,1300,3.067484662576687,T01521|T0915,4,1300,3.067484662576687,T01288|T01715,,,,,,,,
1,SW1250505201,31798_20902_1300_T02014_4_M6,31798_20706_1300_T02149|W1817_4_M6,31798_20500_1300_WRF065_4_M6,31798_20906_1300_None_4_M6,31798,RAINBOW(KOR)-ND-I55 0555S,,,10*1524*31,60,2025-06-24,10,1524,31,1860,2025-07-01,4,1300,18.765133171912833,T02014,4,1300,18.765133171912833,T02149|W1817,4.0,1300.0,18.765133171912833,WRF065,4.0,1300.0,18.765133171912833,None
2,SW1250505202,31800_20902_1300_T02126_4_M6,31800_20706_1300_T02149|W1817_4_M6,31800_20500_1300_WRF065_4_M6,31800_20906_1300_None_4_M6,31800,RAINBOW(KOR)-ND-I55 1555S,,,10*1524*31,120,2025-06-24,10,1524,31,3720,2025-07-01,4,1300,37.62135922330098,T02126,4,1300,37.62135922330098,T02149|W1817,4.0,1300.0,37.62135922330098,WRF065,4.0,1300.0,37.62135922330098,None
3,SW1250505203,31802_20902_1300_T02015_4_M6,31802_20706_1300_T02149_4_M6,31802_20500_1300_WRF065_4_M6,31802_20906_1300_None_4_M6,31802,RAINBOW(KOR)-ND-I55 3555S,,,10*1524*31,120,2025-06-24,10,1524,31,3720,2025-07-01,4,1300,37.58335017175187,T02015,4,1300,37.58335017175187,T02149,4.0,1300.0,37.58335017175187,WRF065,4.0,1300.0,37.58335017175187,None
4,SW1250506105,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,31864,SCF-NS-CCS16(SLP),,,10*508*31,360,2025-05-21,10,508,31,11160,2025-05-28,4,1300,225.72815533980585,W2044|T02515,4,1300,225.72815533980585,W1809,,,,,,,,
5,SW1250506106,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,31864,SCF-NS-CCS16(SLP),,,10*609*31,120,2025-05-21,10,609,31,3720,2025-05-28,4,1300,225.72815533980585,W2044|T02515,4,1300,225.72815533980585,W1809,,,,,,,,
6,SW1250506107,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,31864,SCF-NS-CCS16(SLP),,,10*914*31,120,2025-05-21,10,914,31,3720,2025-05-28,4,1300,225.72815533980585,W2044|T02515,4,1300,225.72815533980585,W1809,,,,,,,,
7,SW1250506108,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,31864,SCF-NS-CCS16(SLP),,,10*1016*31,120,2025-05-21,10,1016,31,3720,2025-05-28,4,1300,225.72815533980585,W2044|T02515,4,1300,225.72815533980585,W1809,,,,,,,,
8,SW1250506109,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,31540,SCF-NS-CCS20(SLP),,,10*508*31,480,2025-05-21,10,508,31,14880,2025-05-28,4,1300,338.7292594091461,T02296,4,1300,338.7292594091461,T02149|W1809,,,,,,,,
9,SW1250506110,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,31540,SCF-NS-CCS20(SLP),,,10*609*31,120,2025-05-21,10,609,31,3720,2025-05-28,4,1300,338.7292594091461,T02296,4,1300,338.7292594091461,T02149|W1809,,,,,,,,
10,SW1250506111,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,31540,SCF-NS-CCS20(SLP),,,10*914*31,240,2025-05-21,10,914,31,7440,2025-05-28,4,1300,338.7292594091461,T02296,4,1300,338.7292594091461,T02149|W1809,,,,,,,,
11,SW1250506113,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,31540,SCF-NS-CCS20(SLP),,,10*1016*31,240,2025-05-21,10,1016,31,7440,2025-05-28,4,1300,338.7292594091461,T02296,4,1300,338.7292594091461,T02149|W1809,,,,,,,,
