,po_no,1_PROCCODE,2_PROCCODE,3_PROCCODE,4_PROCCODE,GitemNo,GItemName,width,length,quantity,fabric_length,due_date,comb_classification_1_PROCCODE,fabric_width_1_PROCCODE,production_length_1_PROCCODE,id_mixture_1_PROCCODE,comb_classification_2_PROCCODE,fabric_width_2_PROCCODE,production_length_2_PROCCODE,id_mixture_2_PROCCODE,comb_classification_3_PROCCODE,fabric_width_3_PROCCODE,production_length_3_PROCCODE,id_mixture_3_PROCCODE,comb_classification_4_PROCCODE,fabric_width_4_PROCCODE,production_length_4_PROCCODE,id_mixture_4_PROCCODE
0,SW1250407101,31704_23311_1500_T0915_0_M5,31704_12400_1500_T01715_0_M5,,,31704,PPF-NS-TGA(WHITE),1524,15,20,300,2025-05-21,0,1500,304,T0915,0,1500,304,T01715,,,,,,,,
1,SW1250505201,31798_20902_1500_T02014_0_M7,31798_20706_1500_W1817_0_M7,31798_20500_1500_WRF065_0_M7,31798_20906_1500_배합X_0_M7,31798,RAINBOW(KOR)-ND-I55 0555S,1524,31,60,1860,2025-07-01,0,1500,2004,T02014,0,1500,2004,W1817,0.0,1500.0,2004.0,WRF065,0.0,1500.0,2004.0,배합X
2,SW1250505202,31800_20902_1500_T02126_0_M7,31800_20706_1500_T02149_0_M7,31800_20500_1500_WRF065_0_M7,31800_20906_1500_배합X_0_M7,31800,RAINBOW(KOR)-ND-I55 1555S,1524,31,120,3720,2025-07-01,0,1500,3988,T02126,0,1500,3988,T02149,0.0,1500.0,3988.0,WRF065,0.0,1500.0,3988.0,배합X
3,SW1250505203,31802_20902_1500_T02015_0_M7,31802_20706_1500_T02149_0_M7,31802_20500_1500_WRF065_0_M7,31802_20906_1500_배합X_0_M7,31802,RAINBOW(KOR)-ND-I55 3555S,1524,31,120,3720,2025-07-01,0,1500,3959,T02015,0,1500,3959,T02149,0.0,1500.0,3959.0,WRF065,0.0,1500.0,3959.0,배합X
4,SW1250506105,31864_20300_1500_T02515_1_M5,31864_20700_1500_W1809_1_M5,,,31864,SCF-NS-CCS16(SLP),508,31,360,11160,2025-05-28,1,1500,6325,T02515,1,1500,6325,W1809,,,,,,,,
5,SW1250506106,31864_20300_1500_T02515_2_M5,31864_20700_1500_W1809_2_M5,,,31864,SCF-NS-CCS16(SLP),609,31,120,3720,2025-05-28,2,1500,3795,T02515,2,1500,3795,W1809,,,,,,,,
6,SW1250506107,31864_20300_1500_T02515_2_M5,31864_20700_1500_W1809_2_M5,,,31864,SCF-NS-CCS16(SLP),914,31,120,3720,2025-05-28,2,1500,3795,T02515,2,1500,3795,W1809,,,,,,,,
7,SW1250506108,31864_20300_1500_T02515_1_M5,31864_20700_1500_W1809_1_M5,,,31864,SCF-NS-CCS16(SLP),1016,31,120,3720,2025-05-28,1,1500,6325,T02515,1,1500,6325,W1809,,,,,,,,
8,SW1250506109,31540_20300_1500_T02296_1_M5,31540_20700_1500_T02149_1_M5,,,31540,SCF-NS-CCS20(SLP),508,31,480,14880,2025-05-28,1,1500,10125,T02296,1,1500,10125,T02149,,,,,,,,
9,SW1250506110,31540_20300_1500_T02296_2_M5,31540_20700_1500_T02149_2_M5,,,31540,SCF-NS-CCS20(SLP),609,31,120,3720,2025-05-28,2,1500,7593,T02296,2,1500,7593,T02149,,,,,,,,
10,SW1250506111,31540_20300_1500_T02296_2_M5,31540_20700_1500_T02149_2_M5,,,31540,SCF-NS-CCS20(SLP),914,31,240,7440,2025-05-28,2,1500,7593,T02296,2,1500,7593,T02149,,,,,,,,
11,SW1250506113,31540_20300_1500_T02296_1_M5,31540_20700_1500_T02149_1_M5,,,31540,SCF-NS-CCS20(SLP),1016,31,240,7440,2025-05-28,1,1500,10125,T02296,1,1500,10125,T02149,,,,,,,,
