,pono,gitemno,depth,process_ID,proccode,is_aging,machineno,node_start,node_end,processing_time,fabric_width,production_length,chemical_list,duedate
0,SW1250212001,32571,1,32571_1300_4_M3_23312_T01639,23312,False,C2010,48.0,49.0,1,1300,180,T01639,2025-03-24
1,SW1250212001,32571,2,32571_1300_4_M3_23316_T01640,23316,False,C2010,51.0,52.0,1,1300,170,T01640,2025-03-24
2,SW1250212001,32571,3,32571_1300_4_M3_20500_T01514,20500,False,C2010,54.0,55.0,1,1300,160,T01514,2025-03-24
3,SW1250212001,32571,4,32571_1300_4_M3_20500_T01514_AGING,20500,True,AGING,55.0,175.0,120,1300,160,T01514,2025-03-24
4,SW1250212001,32571,5,32571_1300_4_M3_12400_T01713,12400,False,C2010,175.0,176.0,1,1300,150,T01713,2025-03-24
5,SW1250806608,31739,1,31739_1300_4_M10_20902_T02600|W2032,20902,False,C2260,0.0,2.0,2,1300,860,T02600|W2032,2025-10-01
6,SW1250806608,31739,2,31739_1300_4_M10_20702_T02150|W1818,20702,False,C2270,2.0,3.0,1,1300,840,T02150|W1818,2025-10-01
7,SW1250806608,31739,3,31739_1300_4_M10_20500_WRF065,20500,False,C2270,4.0,6.0,2,1300,820,WRF065,2025-10-01
8,SW1250806608,31739,4,31739_1300_4_M10_20906_None,20906,False,C2250,6.0,8.0,2,1300,800,None,2025-10-01
9,SW1250904701,31602,1,31602_1300_4_M11_20902_T02390|T02293,20902,False,C2260,15.0,18.0,3,1300,990,T02390|T02293,2025-11-03
10,SW1250904701,31602,2,31602_1300_4_M11_20705_W2027|W1912,20705,False,C2270,18.0,20.0,2,1300,970,W2027|W1912,2025-11-03
11,SW1250904701,31602,3,31602_1300_4_M11_20500_WRF065,20500,False,C2270,24.0,26.0,2,1300,960,WRF065,2025-11-03
12,SW1250904701,31602,4,31602_1300_4_M11_20906_None,20906,False,C2250,26.0,28.0,2,1300,940,None,2025-11-03
13,SW1250904703,32265,1,32265_1300_4_M11_20902_W2082|T02498,20902,False,C2260,23.0,31.0,8,1300,3880,W2082|T02498,2025-11-03
14,SW1250904703,32265,2,32265_1300_4_M11_20702_T02150|W1818,20702,False,C2270,31.0,35.0,4,1300,3800,T02150|W1818,2025-11-03
15,SW1250904703,32265,3,32265_1300_4_M11_20500_WRF065,20500,False,C2260,59.0,64.0,5,1300,3710,WRF065,2025-11-03
16,SW1250904703,32265,4,32265_1300_4_M11_20906_None,20906,False,C2250,69.0,77.0,8,1300,3640,None,2025-11-03
17,SW1250904705,32267,1,32267_1300_4_M11_20902_t02604|W2051,20902,False,C2260,56.0,57.0,1,1300,320,t02604|W2051,2025-11-03
18,SW1250904705,32267,2,32267_1300_4_M11_20702_T02150|W1818,20702,False,C2270,64.0,65.0,1,1300,320,T02150|W1818,2025-11-03
19,SW1250904705,32267,3,32267_1300_4_M11_20500_WRF065,20500,False,C2260,65.0,66.0,1,1300,320,WRF065,2025-11-03
20,SW1250904705,32267,4,32267_1300_4_M11_20906_None,20906,False,C2250,77.0,78.0,1,1300,310,None,2025-11-03
21,SW1250904707,32363,1,32363_1300_4_M11_20902_T02619|T02326,20902,False,C2260,33.0,38.0,5,1300,1940,T02619|T02326,2025-11-03
22,SW1250904707,32363,2,32363_1300_4_M11_20706_W1817,20706,False,C2270,38.0,40.0,2,1300,1900,W1817,2025-11-03
23,SW1250904707,32363,3,32363_1300_4_M11_20500_WRF065,20500,False,C2270,44.0,47.0,3,1300,1850,WRF065,2025-11-03
24,SW1250904707,32363,4,32363_1300_4_M11_20906_None,20906,False,C2250,47.0,51.0,4,1300,1810,None,2025-11-03
25,SW1250904708,32017,1,32017_1300_4_M11_20902_T02319,20902,False,C2260,43.0,51.0,8,1300,3430,T02319,2025-11-03
26,SW1250904708,32017,2,32017_1300_4_M11_20706_None,20706,False,C2270,51.0,54.0,3,1300,3400,None,2025-11-03
27,SW1250904708,32017,3,32017_1300_4_M11_20500_WRF065,20500,False,C2270,56.0,61.0,5,1300,3360,WRF065,2025-11-03
28,SW1250904708,32017,4,32017_1300_4_M11_20906_None,20906,False,C2250,61.0,68.0,7,1300,3320,None,2025-11-03
29,SW1250905618,30260,1,30260_1300_4_M10_20902_T02089,20902,False,C2260,8.0,9.0,1,1300,160,T02089,2025-10-21
30,SW1250905618,30260,2,30260_1300_4_M10_20500_WRF065|W2010,20500,False,C2270,9.0,10.0,1,1300,160,WRF065|W2010,2025-10-21
31,SW1250905618,30260,3,30260_1300_4_M10_20702_T02150|W1818,20702,False,C2270,13.0,14.0,1,1300,160,T02150|W1818,2025-10-21
32,SW1250905618,30260,4,30260_1300_4_M10_20906_None,20906,False,C2250,15.0,16.0,1,1300,160,None,2025-10-21
33,SW1250905625,30234,1,30234_1300_4_M10_20902_T02560,20902,False,C2260,4.0,6.0,2,1300,660,T02560,2025-10-21
34,SW1250905625,30234,2,30234_1300_4_M10_20500_W2010,20500,False,C2270,8.0,9.0,1,1300,650,W2010,2025-10-21
35,SW1250905625,30234,3,30234_1300_4_M10_20702_T02150,20702,False,C2270,12.0,13.0,1,1300,640,T02150,2025-10-21
36,SW1250905625,30234,4,30234_1300_4_M10_20906_None,20906,False,C2250,13.0,15.0,2,1300,630,None,2025-10-21
37,SW1250906901,31600,1,31600_1300_4_M11_20902_T02295,20902,False,C2260,11.0,13.0,2,1300,580,T02295,2025-11-03
38,SW1250906901,31600,2,31600_1300_4_M11_20705_W2027|W1912,20705,False,C2270,15.0,16.0,1,1300,580,W2027|W1912,2025-11-03
39,SW1250906901,31600,3,31600_1300_4_M11_20500_WRF065,20500,False,C2270,26.0,27.0,1,1300,570,WRF065,2025-11-03
40,SW1250906901,31600,4,31600_1300_4_M11_20906_None,20906,False,C2250,28.0,30.0,2,1300,570,None,2025-11-03
41,SW1250906902,32016,1,32016_1300_4_M11_20902_W2039|T02496,20902,False,C2260,20.0,21.0,1,1300,330,W2039|T02496,2025-11-03
42,SW1250906902,32016,2,32016_1300_4_M11_20706_T02149|W1817,20706,False,C2270,21.0,22.0,1,1300,330,T02149|W1817,2025-11-03
43,SW1250906902,32016,3,32016_1300_4_M11_20500_W2053|WRF065,20500,False,C2270,23.0,24.0,1,1300,320,W2053|WRF065,2025-11-03
44,SW1250906902,32016,4,32016_1300_4_M11_20906_None,20906,False,C2250,24.0,25.0,1,1300,320,None,2025-11-03
45,SW1250906903,32018,1,32018_1300_4_M11_20902_T02507|T02320,20902,False,C2260,53.0,54.0,1,1300,270,T02507|T02320,2025-11-03
46,SW1250906903,32018,2,32018_1300_4_M11_20706_T02149,20706,False,C2270,54.0,55.0,1,1300,260,T02149,2025-11-03
47,SW1250906903,32018,3,32018_1300_4_M11_20500_WRF065,20500,False,C2270,61.0,62.0,1,1300,260,WRF065,2025-11-03
48,SW1250906903,32018,4,32018_1300_4_M11_20906_None,20906,False,C2250,68.0,69.0,1,1300,250,None,2025-11-03
49,SW1250906904,32019,1,32019_1300_4_M11_20902_T02508|T02321,20902,False,C2260,40.0,41.0,1,1300,330,T02508|T02321,2025-11-03
50,SW1250906904,32019,2,32019_1300_4_M11_20706_T02149|W1817,20706,False,C2270,41.0,42.0,1,1300,320,T02149|W1817,2025-11-03
51,SW1250906904,32019,3,32019_1300_4_M11_20500_WRF065,20500,False,C2270,43.0,44.0,1,1300,320,WRF065,2025-11-03
52,SW1250906904,32019,4,32019_1300_4_M11_20906_None,20906,False,C2250,44.0,45.0,1,1300,310,None,2025-11-03
53,SW1250908604,25296,1,25296_1300_4_M11_20300_T02668,20300,False,C2260,78.0,81.0,3,1300,2440,T02668,2025-11-04
54,SW1250908604,25296,2,25296_1300_4_M11_20700_None,20700,False,C2270,81.0,84.0,3,1300,2420,None,2025-11-04
55,SW1250908609,26300,1,26300_1300_4_M11_20300_T02624,20300,False,C2260,73.0,76.0,3,1300,2480,T02624,2025-11-04
56,SW1250908609,26300,2,26300_1300_4_M11_20700_T02149,20700,False,C2270,76.0,79.0,3,1300,2440,T02149,2025-11-04
57,SW1250908612,25441,1,25441_1300_4_M11_20300_T02606,20300,False,C2260,68.0,71.0,3,1300,2490,T02606,2025-11-04
58,SW1250908612,25441,2,25441_1300_4_M11_20700_T0873,20700,False,C2010,74.0,76.0,2,1300,2440,T0873,2025-11-04
59,SW1250908617,27870,1,27870_1300_4_M11_20300_T02670,20300,False,C2260,83.0,86.0,3,1300,2460,T02670,2025-11-04
60,SW1250908617,27870,2,27870_1300_4_M11_20700_None,20700,False,C2270,86.0,89.0,3,1300,2430,None,2025-11-04
61,"SW1250908901, SW1251001801",32556,1,32556_1300_4_M10_20710_T01020,20710,False,C2010,66.0,68.0,2,1300,370,T01020,2025-10-27
62,"SW1250908901, SW1251001801",32556,2,32556_1300_4_M10_23100_T01226,23100,False,C2010,70.0,71.0,1,1300,360,T01226,2025-10-27
63,SW1250911101,31704,1,31704_1300_4_M10_23311_T01521|T0915,23311,False,C2010,58.0,59.0,1,1300,110,T01521|T0915,2025-10-28
64,SW1250911101,31704,2,31704_1300_4_M10_23311_T01521|T0915_AGING,23311,True,AGING,59.0,179.0,120,1300,110,T01521|T0915,2025-10-28
65,SW1250911101,31704,3,31704_1300_4_M10_12400_T01288|T01715,12400,False,C2010,183.0,184.0,1,1300,110,T01288|T01715,2025-10-28
66,SW1250911401,32041,1,32041_1300_4_M10_20500_T0915,20500,False,C2010,57.0,58.0,1,1300,160,T0915,2025-10-17
67,SW1250911401,32041,2,32041_1300_4_M10_20500_T0915_AGING,20500,True,AGING,58.0,178.0,120,1300,160,T0915,2025-10-17
68,SW1250911401,32041,3,32041_1300_4_M10_12400_T01576,12400,False,C2010,178.0,179.0,1,1300,150,T01576,2025-10-17
69,SW1251001901,31722,1,31722_1300_4_M10_23311_T0915|T01362,23311,False,C2010,63.0,64.0,1,1300,150,T0915|T01362,2025-10-27
70,SW1251001901,31722,2,31722_1300_4_M10_23311_T0915|T01362_AGING,23311,True,AGING,64.0,184.0,120,1300,150,T0915|T01362,2025-10-27
71,SW1251001901,31722,3,31722_1300_4_M10_12400_T01716|T01362,12400,False,C2010,185.0,186.0,1,1300,150,T01716|T01362,2025-10-27
72,SW1251002001,32413,1,32413_1300_4_M10_23311_T0915,23311,False,C2010,59.0,60.0,1,1300,160,T0915,2025-10-31
73,SW1251002001,32413,2,32413_1300_4_M10_23311_T0915_AGING,23311,True,AGING,60.0,180.0,120,1300,160,T0915,2025-10-31
74,SW1251002001,32413,3,32413_1300_4_M10_12400_T01288|T01715,12400,False,C2010,180.0,181.0,1,1300,150,T01288|T01715,2025-10-31
75,SW1251002101,31772,1,31772_1300_4_M10_20710_T01020,20710,False,C2010,68.0,69.0,1,1300,360,T01020,2025-10-31
76,SW1251002101,31772,2,31772_1300_4_M10_23100_T01226|W2060,23100,False,C2010,71.0,72.0,1,1300,350,T01226|W2060,2025-10-31
77,"SW1251002401, SW1250911402",32453,1,32453_1300_4_M10_23311_T0915|T02098,23311,False,C2010,60.0,61.0,1,1300,300,T0915|T02098,2025-10-17
78,"SW1251002401, SW1250911402",32453,2,32453_1300_4_M10_23311_T0915|T02098_AGING,23311,True,AGING,61.0,181.0,120,1300,300,T0915|T02098,2025-10-17
79,"SW1251002401, SW1250911402",32453,3,32453_1300_4_M10_12400_T02244,12400,False,C2010,181.0,182.0,1,1300,300,T02244,2025-10-17
80,SW1251003601,32470,1,32470_1300_4_M11_23311_T0915,23311,False,C2010,77.0,78.0,1,1300,230,T0915,2025-11-04
81,SW1251003601,32470,2,32470_1300_4_M11_23311_T0915_AGING,23311,True,AGING,78.0,198.0,120,1300,230,T0915,2025-11-04
82,SW1251003601,32470,3,32470_1300_4_M11_12400_T01521,12400,False,C2010,198.0,199.0,1,1300,230,T01521,2025-11-04
