,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,production_length,chemical_list,product_ID,process_ID,procgbn
0,SW1250212001,32571,23312,1,4,2025-03-24,1300,144,T01639,32571_1300_4_M3,32571_1300_4_M3_23312_T01639,EPU
1,SW1250212001,32571,23316,2,4,2025-03-24,1300,144,T01640,32571_1300_4_M3,32571_1300_4_M3_23316_T01640,EPU
2,SW1250212001,32571,20500,3,4,2025-03-24,1300,144,T01514,32571_1300_4_M3,32571_1300_4_M3_20500_T01514,투명
3,SW1250212001,32571,12400,4,4,2025-03-24,1300,144,T01713,32571_1300_4_M3,32571_1300_4_M3_12400_T01713,SR
4,SW1250905625,30234,20902,1,4,2025-10-21,1300,620,T02560,30234_1300_4_M10,30234_1300_4_M10_20902_T02560,안료
5,SW1250905625,30234,20500,2,4,2025-10-21,1300,620,W2010,30234_1300_4_M10,30234_1300_4_M10_20500_W2010,투명
6,SW1250905625,30234,20702,3,4,2025-10-21,1300,620,T02150,30234_1300_4_M10,30234_1300_4_M10_20702_T02150,SR
7,SW1250905625,30234,20906,4,4,2025-10-21,1300,620,None,30234_1300_4_M10,30234_1300_4_M10_20906_None,인쇄
8,SW1250905618,30260,20902,1,4,2025-10-21,1300,155,T02089,30260_1300_4_M10,30260_1300_4_M10_20902_T02089,안료
9,SW1250905618,30260,20500,2,4,2025-10-21,1300,155,WRF065|W2010,30260_1300_4_M10,30260_1300_4_M10_20500_WRF065|W2010,투명
10,SW1250905618,30260,20702,3,4,2025-10-21,1300,155,T02150|W1818,30260_1300_4_M10,30260_1300_4_M10_20702_T02150|W1818,SR
11,SW1250905618,30260,20906,4,4,2025-10-21,1300,155,None,30260_1300_4_M10,30260_1300_4_M10_20906_None,인쇄
12,SW1250911101,31704,23311,1,4,2025-10-28,1300,105,T01521|T0915,31704_1300_4_M10,31704_1300_4_M10_23311_T01521|T0915,투명
13,SW1250911101,31704,12400,2,4,2025-10-28,1300,105,T01288|T01715,31704_1300_4_M10,31704_1300_4_M10_12400_T01288|T01715,SR
14,SW1251001901,31722,23311,1,4,2025-10-27,1300,0,T0915|T01362,31722_1300_4_M10,31722_1300_4_M10_23311_T0915|T01362,투명
15,SW1251001901,31722,12400,2,4,2025-10-27,1300,0,T01716|T01362,31722_1300_4_M10,31722_1300_4_M10_12400_T01716|T01362,SR
