,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,original_production_length,chemical_list,product_ID,process_ID,procgbn,gitemname,procname,production_length
0,SW1250908604,25296,20300,1,4,2025-11-04,1300,0,T02668,25296_1300_4_M11,25296_1300_4_M11_20300_T02668,염료,SCF-NS-CG05,염료점착,0
1,SW1250908604,25296,20700,2,4,2025-11-04,1300,0,None,25296_1300_4_M11,25296_1300_4_M11_20700_None,SR,SCF-NS-CG05,유광 S/R,0
2,SW1250908612,25441,20300,1,4,2025-11-04,1300,0,T02606,25441_1300_4_M11,25441_1300_4_M11_20300_T02606,염료,SCF-NS-CG28,염료점착,0
3,SW1250908612,25441,20700,2,4,2025-11-04,1300,0,T0873,25441_1300_4_M11,25441_1300_4_M11_20700_T0873,SR,SCF-NS-CG28,유광 S/R,0
4,SW1250908609,26300,20300,1,4,2025-11-04,1300,0,T02624,26300_1300_4_M11,26300_1300_4_M11_20300_T02624,염료,SCF-NS-CS15,염료점착,0
5,SW1250908609,26300,20700,2,4,2025-11-04,1300,0,T02149,26300_1300_4_M11,26300_1300_4_M11_20700_T02149,SR,SCF-NS-CS15,유광 S/R,0
6,SW1250908617,27870,20300,1,4,2025-11-04,1300,0,T02670,27870_1300_4_M11,27870_1300_4_M11_20300_T02670,염료,SCF-NS-LGN58,염료점착,0
7,SW1250908617,27870,20700,2,4,2025-11-04,1300,0,None,27870_1300_4_M11,27870_1300_4_M11_20700_None,SR,SCF-NS-LGN58,유광 S/R,0
8,SW1250905625,30234,20902,1,4,2025-10-21,1300,620,T02560,30234_1300_4_M10,30234_1300_4_M10_20902_T02560,안료,Phantom(개선2)-ND-S7 3470,안료접착,660
9,SW1250905625,30234,20500,2,4,2025-10-21,1300,620,W2010,30234_1300_4_M10,30234_1300_4_M10_20500_W2010,투명,Phantom(개선2)-ND-S7 3470,투명점착,650
10,SW1250905625,30234,20702,3,4,2025-10-21,1300,620,T02150,30234_1300_4_M10,30234_1300_4_M10_20702_T02150,SR,Phantom(개선2)-ND-S7 3470,ISR(하드코팅),640
11,SW1250905625,30234,20906,4,4,2025-10-21,1300,620,None,30234_1300_4_M10,30234_1300_4_M10_20906_None,인쇄,Phantom(개선2)-ND-S7 3470,인쇄,630
12,SW1250905618,30260,20902,1,4,2025-10-21,1300,155,T02089,30260_1300_4_M10,30260_1300_4_M10_20902_T02089,안료,Phantom(개선2)-ND-S9 1990,안료접착,160
13,SW1250905618,30260,20500,2,4,2025-10-21,1300,155,WRF065|W2010,30260_1300_4_M10,30260_1300_4_M10_20500_WRF065|W2010,투명,Phantom(개선2)-ND-S9 1990,투명점착,160
14,SW1250905618,30260,20702,3,4,2025-10-21,1300,155,T02150|W1818,30260_1300_4_M10,30260_1300_4_M10_20702_T02150|W1818,SR,Phantom(개선2)-ND-S9 1990,ISR(하드코팅),160
15,SW1250905618,30260,20906,4,4,2025-10-21,1300,155,None,30260_1300_4_M10,30260_1300_4_M10_20906_None,인쇄,Phantom(개선2)-ND-S9 1990,인쇄,160
16,SW1250906901,31600,20902,1,4,2025-11-03,1300,558,T02295,31600_1300_4_M11,31600_1300_4_M11_20902_T02295,안료,RAINBOW(KOR)-DM-V90 0590(RHN31%),안료접착,580
17,SW1250906901,31600,20705,2,4,2025-11-03,1300,558,W2027|W1912,31600_1300_4_M11,31600_1300_4_M11_20705_W2027|W1912,SR,RAINBOW(KOR)-DM-V90 0590(RHN31%),WSR 코팅,580
18,SW1250906901,31600,20500,3,4,2025-11-03,1300,558,WRF065,31600_1300_4_M11,31600_1300_4_M11_20500_WRF065,투명,RAINBOW(KOR)-DM-V90 0590(RHN31%),투명점착,570
19,SW1250906901,31600,20906,4,4,2025-11-03,1300,558,None,31600_1300_4_M11,31600_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-DM-V90 0590(RHN31%),인쇄,570
20,SW1250904701,31602,20902,1,4,2025-11-03,1300,930,T02390|T02293,31602_1300_4_M11,31602_1300_4_M11_20902_T02390|T02293,안료,RAINBOW(KOR)-DC-V90 3090(RHN40%),안료접착,990
21,SW1250904701,31602,20705,2,4,2025-11-03,1300,930,W2027|W1912,31602_1300_4_M11,31602_1300_4_M11_20705_W2027|W1912,SR,RAINBOW(KOR)-DC-V90 3090(RHN40%),WSR 코팅,970
22,SW1250904701,31602,20500,3,4,2025-11-03,1300,930,WRF065,31602_1300_4_M11,31602_1300_4_M11_20500_WRF065,투명,RAINBOW(KOR)-DC-V90 3090(RHN40%),투명점착,960
23,SW1250904701,31602,20906,4,4,2025-11-03,1300,930,None,31602_1300_4_M11,31602_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-DC-V90 3090(RHN40%),인쇄,940
24,SW1250911101,31704,23311,1,4,2025-10-28,1300,105,T01521|T0915,31704_1300_4_M10,31704_1300_4_M10_23311_T01521|T0915,투명,PPF-NS-TGA(WHITE),PPF점착,110
25,SW1250911101,31704,12400,2,4,2025-10-28,1300,105,T01288|T01715,31704_1300_4_M10,31704_1300_4_M10_12400_T01288|T01715,SR,PPF-NS-TGA(WHITE),TOP COATING,110
26,SW1251001901,31722,23311,1,4,2025-10-27,1300,0,T0915|T01362,31722_1300_4_M10,31722_1300_4_M10_23311_T0915|T01362,투명,PPF-NS-SGA N,PPF점착,0
27,SW1251001901,31722,12400,2,4,2025-10-27,1300,0,T01716|T01362,31722_1300_4_M10,31722_1300_4_M10_12400_T01716|T01362,SR,PPF-NS-SGA N,TOP COATING,0
28,SW1250806608,31739,20902,1,4,2025-10-01,1300,775,T02600|W2032,31739_1300_4_M10,31739_1300_4_M10_20902_T02600|W2032,안료,RAINBOW(KOR)-ND-I90 3390,안료접착,860
29,SW1250806608,31739,20702,2,4,2025-10-01,1300,775,T02150|W1818,31739_1300_4_M10,31739_1300_4_M10_20702_T02150|W1818,SR,RAINBOW(KOR)-ND-I90 3390,ISR(하드코팅),840
30,SW1250806608,31739,20500,3,4,2025-10-01,1300,775,WRF065,31739_1300_4_M10,31739_1300_4_M10_20500_WRF065,투명,RAINBOW(KOR)-ND-I90 3390,투명점착,820
31,SW1250806608,31739,20906,4,4,2025-10-01,1300,775,None,31739_1300_4_M10,31739_1300_4_M10_20906_None,인쇄,RAINBOW(KOR)-ND-I90 3390,인쇄,800
32,SW1251002101,31772,20710,1,4,2025-10-31,1300,0,T01020,31772_1300_4_M10,31772_1300_4_M10_20710_T01020,SR,WINDSHIELD 보호필름(점착개선),ESR,0
33,SW1251002101,31772,23100,2,4,2025-10-31,1300,0,T01226|W2060,31772_1300_4_M10,31772_1300_4_M10_23100_T01226|W2060,투명,WINDSHIELD 보호필름(점착개선),비산점착,0
34,SW1250906902,32016,20902,1,4,2025-11-03,1300,0,W2039|T02496,32016_1300_4_M11,32016_1300_4_M11_20902_W2039|T02496,안료,RAINBOW(KOR)-DM-VS200 05(RHN31%),안료접착,0
35,SW1250906902,32016,20706,2,4,2025-11-03,1300,0,T02149|W1817,32016_1300_4_M11,32016_1300_4_M11_20706_T02149|W1817,SR,RAINBOW(KOR)-DM-VS200 05(RHN31%),MIBK SR,0
36,SW1250906902,32016,20500,3,4,2025-11-03,1300,0,W2053|WRF065,32016_1300_4_M11,32016_1300_4_M11_20500_W2053|WRF065,투명,RAINBOW(KOR)-DM-VS200 05(RHN31%),투명점착,0
37,SW1250906902,32016,20906,4,4,2025-11-03,1300,0,None,32016_1300_4_M11,32016_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-DM-VS200 05(RHN31%),인쇄,0
38,SW1250904708,32017,20902,1,4,2025-11-03,1300,3286,T02319,32017_1300_4_M11,32017_1300_4_M11_20902_T02319,안료,RAINBOW(KOR)-DM-VS200 12(RHN31%),안료접착,3430
39,SW1250904708,32017,20706,2,4,2025-11-03,1300,3286,None,32017_1300_4_M11,32017_1300_4_M11_20706_None,SR,RAINBOW(KOR)-DM-VS200 12(RHN31%),MIBK SR,3400
