,기계인덱스,작업 시작 시간,작업 종료 시간,공정순서,ID,P/O NO,GITEM,원단너비,생산길이,배합코드,납기일
1,C2010,2025-05-16 00:00:00,2025-05-16 01:00:00,1,31704_PPF점착_1500_T0915_0_M5,['SW1250407101'],31704,1500.0,304.0,T0915,['2025-05-21']
2,C2010,2025-05-16 01:00:00,2025-05-16 02:30:00,1,32023_투명점착_1500_T0915_0_M5,['SW1250503301'],32023,1500.0,773.0,T0915,['2025-05-24']
3,C2010,2025-05-16 03:30:00,2025-05-16 04:30:00,2,31704_TOP COATING_1500_T01715_0_M5,['SW1250407101'],31704,1500.0,304.0,T01715,['2025-05-21']
4,C2010,2025-05-16 05:30:00,2025-05-16 07:00:00,2,32023_TOP COATING_1500_T01713_0_M5,['SW1250503301'],32023,1500.0,773.0,T01713,['2025-05-24']
5,C2010,2025-05-16 09:00:00,2025-05-16 16:00:00,2,32528_비산점착_1300_T01862_4_M5,['SW1250503601'],32528,1300.0,6159.0,T01862,['2025-05-26']
6,C2010,2025-05-16 17:00:00,2025-05-16 19:30:00,1,31772_ESR_1300_T01020_4_M5,['SW1250505401'],31772,1300.0,1518.0,T01020,['2025-05-28']
7,C2010,2025-05-16 21:30:00,2025-05-16 23:30:00,2,31772_비산점착_1300_T01226_4_M5,['SW1250505401'],31772,1300.0,1518.0,T01226,['2025-05-28']
8,C2010,2025-05-17 01:30:00,2025-05-17 11:30:00,2,29059_비산점착_1500_T01792_0_M6,"['SW1250408201', 'SW1250507501']",29059,1500.0,11560.0,T01792,"['2025-06-13', '2025-06-02']"
9,C2010,2025-05-17 13:30:00,2025-05-17 14:30:00,1,32470_PPF점착_1500_T0915_0_M6,['SW1250508001'],32470,1500.0,317.0,T0915,['2025-06-03']
10,C2010,2025-05-17 16:30:00,2025-05-17 19:30:00,1,32739_PPF점착_1500_T02098_0_M6,['SW1250503702'],32739,1500.0,1517.0,T02098,['2025-06-03']
11,C2010,2025-05-17 20:30:00,2025-05-17 21:30:00,2,32470_TOP COATING_1500_T01521_0_M6,['SW1250508001'],32470,1500.0,317.0,T01521,['2025-06-03']
12,C2010,2025-05-17 22:30:00,2025-05-18 01:30:00,2,32739_TOP COATING_1500_T02244_0_M6,['SW1250503702'],32739,1500.0,1517.0,T02244,['2025-06-03']
13,C2010,2025-05-18 03:30:00,2025-05-18 06:00:00,1,25033_염료점착_1500_T02516_0_M6,['SW1250504505'],25033,1500.0,3176.0,T02516,['2025-06-05']
14,C2010,2025-05-18 08:00:00,2025-05-18 21:00:00,2,25278_비산점착_1500_T02560_0_M6,['SW1250504501'],25278,1500.0,11701.0,T02560,['2025-06-05']
15,C2010,2025-05-18 22:00:00,2025-05-20 06:30:00,1,31772_ESR_1300_T01020_4_M6,"['SW1250501901', 'SW1250502001', 'SW1250508801', 'SW1250508802', 'SW1250512302']",31772,1300.0,23389.0,T01020,"['2025-06-10', '2025-06-05', '2025-06-24', '2025-06-24', '2025-06-23']"
16,C2010,2025-05-20 06:30:00,2025-05-21 11:30:00,1,32556_ESR_1300_T01020_4_M6,"['SW1250505001', 'SW1250511801']",32556,1300.0,20831.0,T01020,"['2025-06-10', '2025-06-11']"
17,C2010,2025-05-21 12:30:00,2025-05-21 21:30:00,1,32556_ESR_1000_T01020_1_M6,['SW1250505002'],32556,1000.0,6172.0,T01020,['2025-06-10']
18,C2010,2025-05-21 23:30:00,2025-05-23 01:30:00,2,31772_비산점착_1300_T01226_4_M6,"['SW1250501901', 'SW1250502001', 'SW1250508801', 'SW1250508802', 'SW1250512302']",31772,1300.0,23389.0,T01226,"['2025-06-10', '2025-06-05', '2025-06-24', '2025-06-24', '2025-06-23']"
19,C2010,2025-05-23 01:30:00,2025-05-24 00:30:00,2,32556_비산점착_1300_T01226_4_M6,"['SW1250505001', 'SW1250511801']",32556,1300.0,20831.0,T01226,"['2025-06-10', '2025-06-11']"
20,C2010,2025-05-24 01:30:00,2025-05-24 08:30:00,2,32556_비산점착_1000_T01226_1_M6,['SW1250505002'],32556,1000.0,6172.0,T01226,['2025-06-10']
21,C2010,2025-05-24 09:30:00,2025-05-24 10:00:00,1,32174_TOP COATING_1500_T02116_0_M6,['SW1250509202'],32174,1500.0,13.0,T02116,['2025-06-09']
22,C2010,2025-05-24 12:00:00,2025-05-24 12:30:00,2,32174_PPF점착_1500_T01852_0_M6,['SW1250509202'],32174,1500.0,13.0,T01852,['2025-06-09']
23,C2010,2025-05-24 14:30:00,2025-05-24 16:00:00,1,32687_안료접착_1500_T02451_0_M6,['SW1250507307'],32687,1500.0,1654.0,T02451,['2025-06-09']
24,C2010,2025-05-24 18:00:00,2025-05-24 19:30:00,1,32693_안료접착_1500_T02428_0_M6,['SW1250507304'],32693,1500.0,1701.0,T02428,['2025-06-09']
25,C2010,2025-05-24 21:30:00,2025-05-24 22:30:00,1,32199_안료접착_1500_T01445_0_M6,['SW1250508101'],32199,1500.0,467.0,T01445,['2025-06-12']
26,C2010,2025-05-25 00:30:00,2025-05-25 01:30:00,1,31016_안료접착_1500_T02520_0_M6,['SW1250515601'],31016,1500.0,1779.0,T02520,['2025-06-13']
27,C2010,2025-05-25 03:30:00,2025-05-25 09:00:00,1,32023_투명점착_1500_T0915_0_M6,"['SW1250512701', 'SW1250515001']",32023,1500.0,3248.0,T0915,"['2025-06-12', '2025-06-26']"
28,C2010,2025-05-25 11:00:00,2025-05-25 12:00:00,2,32199_투명점착_1500_T01306_0_M6,['SW1250508101'],32199,1500.0,467.0,T01306,['2025-06-12']
29,C2010,2025-05-25 13:00:00,2025-05-25 18:30:00,2,32023_TOP COATING_1500_T01713_0_M6,"['SW1250512701', 'SW1250515001']",32023,1500.0,3248.0,T01713,"['2025-06-12', '2025-06-26']"
30,C2010,2025-05-25 19:30:00,2025-05-25 20:30:00,3,32199_TOP COATING_1500_T01576_0_M6,['SW1250508101'],32199,1500.0,467.0,T01576,['2025-06-12']
31,C2010,2025-05-25 22:30:00,2025-05-25 23:00:00,1,32474_안료점착_1500_T01445_0_M6,['SW1250510201'],32474,1500.0,16.0,T01445,['2025-06-12']
32,C2010,2025-05-26 01:00:00,2025-05-26 01:30:00,2,32474_PPF점착_1500_T01306_0_M6,['SW1250510201'],32474,1500.0,16.0,T01306,['2025-06-12']
33,C2010,2025-05-26 03:30:00,2025-05-26 06:30:00,1,32415_PPF점착_1500_T02116_0_M6,['SW1250501902'],32415,1500.0,1517.0,T02116,['2025-06-15']
34,C2010,2025-05-26 08:30:00,2025-05-26 14:00:00,1,32453_PPF점착_1500_T01543_0_M6,"['SW1250506201', 'SW1250506301', 'SW1250511901', 'SW1250512901']",32453,1500.0,3127.0,T01543,"['2025-06-20', '2025-06-17', '2025-06-23', '2025-06-17']"
35,C2010,2025-05-26 15:00:00,2025-05-26 15:30:00,3,32474_TOP COATING_1500_T02244_0_M6,['SW1250510201'],32474,1500.0,16.0,T02244,['2025-06-12']
36,C2010,2025-05-26 15:30:00,2025-05-26 21:00:00,2,32453_TOP COATING_1500_T02244_0_M6,"['SW1250506201', 'SW1250506301', 'SW1250511901', 'SW1250512901']",32453,1500.0,3127.0,T02244,"['2025-06-20', '2025-06-17', '2025-06-23', '2025-06-17']"
37,C2010,2025-05-26 22:00:00,2025-05-27 01:30:00,2,32415_TOP COATING_1500_T02116_0_M6,['SW1250501902'],32415,1500.0,1517.0,T02116,['2025-06-15']
38,C2010,2025-05-27 03:30:00,2025-05-27 05:00:00,1,32001_안료접착_1500_T02446_0_M6,['SW1250507407'],32001,1500.0,1707.0,T02446,['2025-06-16']
39,C2010,2025-05-27 07:00:00,2025-05-27 09:00:00,1,32472_BLACK EPU코팅_1500_14774_0_M6,['SW1250507601'],32472,1500.0,842.0,14774,['2025-06-16']
40,C2010,2025-05-27 10:00:00,2025-05-27 11:30:00,2,32472_TOP COATING_1500_T01514_0_M6,['SW1250507601'],32472,1500.0,842.0,T01514,['2025-06-16']
41,C2010,2025-05-27 13:30:00,2025-05-27 15:00:00,1,30566_안료접착_1500_T02150_0_M6,['SW1250507001'],30566,1500.0,1680.0,T02150,['2025-06-23']
42,C2010,2025-05-27 17:00:00,2025-05-27 19:30:00,1,32318_안료접착_1500_T02532_0_M6,['SW1250512403'],32318,1500.0,3246.0,T02532,['2025-06-24']
43,C2010,2025-05-27 20:30:00,2025-05-27 22:00:00,1,32318_안료접착_1000_T02532_1_M6,['SW1250508434'],32318,1000.0,1623.0,T02532,['2025-06-26']
44,C2010,2025-05-28 00:00:00,2025-05-28 01:00:00,1,32304_안료접착_1500_T02521_1_M6,"['SW1250508402', 'SW1250508403']",32304,1500.0,1615.0,T02521,"['2025-06-26', '2025-06-26']"
45,C2010,2025-05-28 03:00:00,2025-05-28 04:30:00,1,32306_안료접착_1500_T02534_0_M6,['SW1250508407'],32306,1500.0,1618.0,T02534,['2025-06-26']
46,C2010,2025-05-28 05:30:00,2025-05-28 08:30:00,1,32306_안료접착_1000_T02534_1_M6,"['SW1250508408', 'SW1250508409']",32306,1000.0,3560.0,T02534,"['2025-06-26', '2025-06-26']"
47,C2010,2025-05-28 10:30:00,2025-05-28 12:00:00,1,32309_안료접착_1500_T01747_0_M6,['SW1250508413'],32309,1500.0,1633.0,T01747,['2025-06-26']
48,C2010,2025-05-28 12:00:00,2025-05-28 13:30:00,1,32309_안료접착_1500_T01747_1_M6,"['SW1250508414', 'SW1250508415']",32309,1500.0,1633.0,T01747,"['2025-06-26', '2025-06-26']"
49,C2010,2025-05-28 15:30:00,2025-05-28 17:00:00,1,32310_안료접착_1500_T01748_0_M6,['SW1250508416'],32310,1500.0,1674.0,T01748,['2025-06-26']
50,C2010,2025-05-28 18:00:00,2025-05-28 21:30:00,1,32310_안료접착_1000_T01748_1_M6,"['SW1250508417', 'SW1250508418']",32310,1000.0,4353.0,T01748,"['2025-06-26', '2025-06-26']"
51,C2010,2025-05-28 23:30:00,2025-05-29 01:00:00,1,32312_안료접착_1500_T01688_0_M6,['SW1250508422'],32312,1500.0,1596.0,T01688,['2025-06-26']
52,C2010,2025-05-29 01:00:00,2025-05-29 02:00:00,1,32312_안료접착_1500_T01688_1_M6,"['SW1250508423', 'SW1250508424']",32312,1500.0,958.0,T01688,"['2025-06-26', '2025-06-26']"
53,C2010,2025-05-29 04:00:00,2025-05-29 06:00:00,1,32303_안료접착_1000_T01684_1_M6,['SW1250508401'],32303,1000.0,1617.0,T01684,['2025-06-26']
54,C2010,2025-05-29 08:00:00,2025-05-29 08:30:00,1,32198_PPF점착_1500_T0915_0_M6,['SW1250511202'],32198,1500.0,156.0,T0915,['2025-06-23']
55,C2010,2025-05-29 09:30:00,2025-05-29 10:00:00,2,32198_TOP COATING_1500_T01576_0_M6,['SW1250511202'],32198,1500.0,156.0,T01576,['2025-06-23']
56,C2010,2025-05-29 11:00:00,2025-05-29 15:00:00,1,31772_ESR_1000_T01020_1_M6,['SW1250512301'],31772,1000.0,2530.0,T01020,['2025-06-23']
57,C2010,2025-05-29 17:00:00,2025-05-29 20:00:00,2,31772_비산점착_1000_T01226_1_M6,['SW1250512301'],31772,1000.0,2530.0,T01226,['2025-06-23']
58,C2010,2025-05-29 22:00:00,2025-05-30 03:00:00,1,30863_비산점착_1500_W1558_0_M7,['SW1250504507'],30863,1500.0,5367.0,W1558,['2025-07-10']
59,C2010,2025-05-30 03:00:00,2025-05-30 08:00:00,2,30863_비산접착(1차)_1500_W1558_0_M7,['SW1250504507'],30863,1500.0,5367.0,W1558,['2025-07-10']
60,C2010,2025-05-30 10:00:00,2025-05-30 13:00:00,1,31023_안료접착_1500_T02404_0_M7,['SW1250507403'],31023,1500.0,3350.0,T02404,['2025-07-10']
61,C2010,2025-05-30 15:00:00,2025-05-30 16:00:00,1,31809_안료접착_1500_T01331_0_M7,['SW1250511701'],31809,1500.0,462.0,T01331,['2025-07-10']
