,PoNo,1_PROCCODE,2_PROCCODE,3_PROCCODE,4_PROCCODE,end_time,GitemNo,DUEDATE,end_date,late_days
11,SW1250506113,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,2.0,31540,2025-05-21,2025-05-15 01:00:00,0
10,SW1250506111,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,2.0,31540,2025-05-21,2025-05-15 01:00:00,0
9,SW1250506110,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,2.0,31540,2025-05-21,2025-05-15 01:00:00,0
8,SW1250506109,31540_20300_1300_T02296_4_M5,31540_20700_1300_T02149|W1809_4_M5,,,2.0,31540,2025-05-21,2025-05-15 01:00:00,0
0,SW1250407101,31704_23311_1300_T01521|T0915_4_M5,31704_12400_1300_T01288|T01715_4_M5,,,6.0,31704,2025-05-14,2025-05-15 03:00:00,1
6,SW1250506107,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,7.0,31864,2025-05-21,2025-05-15 03:30:00,0
5,SW1250506106,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,7.0,31864,2025-05-21,2025-05-15 03:30:00,0
4,SW1250506105,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,7.0,31864,2025-05-21,2025-05-15 03:30:00,0
7,SW1250506108,31864_20300_1300_W2044|T02515_4_M5,31864_20700_1300_W1809_4_M5,,,7.0,31864,2025-05-21,2025-05-15 03:30:00,0
1,SW1250505201,31798_20902_1300_T02014_4_M6,31798_20706_1300_T02149|W1817_4_M6,31798_20500_1300_WRF065_4_M6,31798_20906_1300_None_4_M6,24.0,31798,2025-06-24,2025-05-15 12:00:00,0
2,SW1250505202,31800_20902_1300_T02126_4_M6,31800_20706_1300_T02149|W1817_4_M6,31800_20500_1300_WRF065_4_M6,31800_20906_1300_None_4_M6,25.0,31800,2025-06-24,2025-05-15 12:30:00,0
3,SW1250505203,31802_20902_1300_T02015_4_M6,31802_20706_1300_T02149_4_M6,31802_20500_1300_WRF065_4_M6,31802_20906_1300_None_4_M6,26.0,31802,2025-06-24,2025-05-15 13:00:00,0
